央视IPV4,#genre#
CCTV-7 国防军事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV-11 戏曲,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-12 社会与法,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14 少儿,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-4K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8


卫视IPV6,#genre#

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
北京卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
东方卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
四川卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
广东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
江苏卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
山西卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000021220/1.m3u8
东南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
贵州卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
辽宁卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
重庆卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
黑龙江卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
宁夏卫视,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226454/index.m3u8
陕西卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000007495/1.m3u8
吉林卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
甘肃卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
云南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010119/1.m3u8
三沙卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000117/1.m3u8
青海卫视,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
新疆卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
西藏卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/6603041244077933770/1.m3u8
兵团卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
延边卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
厦门卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000266006/1.m3u8
康巴卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/index.m3u8
CETV-1,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
纪实科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
乐游频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
欢笑剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000002000009455/1.m3u8
都市剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031111/1.m3u8
金色学堂,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000026105/1.m3u8
卡酷少儿,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
金鹰卡通,http://[2409:8087:1a0b:df::4008]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰纪实,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031203/1.m3u8
快乐垂钓,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031206/1.m3u8
茶友频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031209/1.m3u8
游戏风云,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031114/1.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000025964/1.m3u8
哒啵赛事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
优漫卡通,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓电影,http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
海外剧场,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
中国功夫,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
军旅剧场,http://[2409:8087:1a0b:df::4018]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
惊悚悬疑,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
潮妈辣婆,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
精品体育,http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
家庭剧场,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
精品大剧,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
军事评论,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
明星大片,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
精品萌宠,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
超级综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
金牌综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙新闻,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙经济,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙文体,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8


APTV专用央卫ipv4,#genre#

CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV6,http://148.135.93.213:81/live.php?id=CCTV6
CCTV7,http://148.135.93.213:81/live.php?id=CCTV7
CCTV8,http://148.135.93.213:81/live.php?id=CCTV8
CCTV9,http://148.135.93.213:81/live.php?id=CCTV9
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV14,http://148.135.93.213:81/live.php?id=CCTV14
CCTV15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV17,http://148.135.93.213:81/live.php?id=CCTV17
CCTV4K,http://148.135.93.213:81/live.php?id=CCTV4K
CCTV16-4K,http://148.135.93.213:81/live.php?id=CCTV16-4K

重温经典,http://148.135.93.213:81/live.php?id=重温经典
CHC家庭影院,http://148.135.93.213:81/live.php?id=CHC家庭影院
CHC影迷电影,http://148.135.93.213:81/live.php?id=CHC高清电影
CHC动作电影,http://148.135.93.213:81/live.php?id=CHC动作电影
CGTN英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN纪录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN西语,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN阿语,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
五星体育,http://148.135.93.213:81/live.php?id=五星体育
五星体育,http://148.135.93.213:81/PLTV/bestv.php?id=wxtyhd8m/8000000
凤凰资讯,http://148.135.93.213:81/live.php?id=凤凰资讯
凤凰中文,http://148.135.93.213:81/live.php?id=凤凰中文
凤凰香港,http://148.135.93.213:81/live.php?id=凤凰香港
凤凰香港,http://113.64.147.87:8081/hls/38/index.m3u8
湖南卫视-芒果TV,http://148.135.93.213:81/live.php?id=芒果TV
湖南卫视,http://148.135.93.213:81/live.php?id=湖南卫视
东南卫视,http://148.135.93.213:81/live.php?id=东南卫视
北京卫视,http://148.135.93.213:81/live.php?id=北京卫视
吉林卫视,http://148.135.93.213:81/live.php?id=吉林卫视
四川卫视,http://148.135.93.213:81/live.php?id=四川卫视
天津卫视,http://148.135.93.213:81/live.php?id=天津卫视
安徽卫视,http://148.135.93.213:81/live.php?id=安徽卫视
山东卫视,http://148.135.93.213:81/live.php?id=山东卫视
山西卫视,http://148.135.93.213:81/live.php?id=山西卫视
广东卫视,http://148.135.93.213:81/live.php?id=广东卫视
广西卫视,http://148.135.93.213:81/live.php?id=广西卫视
江苏卫视,http://148.135.93.213:81/live.php?id=江苏卫视
江西卫视,http://148.135.93.213:81/live.php?id=江西卫视
河北卫视,http://148.135.93.213:81/live.php?id=河北卫视
河南卫视,http://148.135.93.213:81/live.php?id=河南卫视
浙江卫视,http://148.135.93.213:81/live.php?id=浙江卫视
深圳卫视,http://148.135.93.213:81/live.php?id=深圳卫视
湖北卫视,http://148.135.93.213:81/live.php?id=湖北卫视
甘肃卫视,http://148.135.93.213:81/live.php?id=甘肃卫视
贵州卫视,http://148.135.93.213:81/live.php?id=贵州卫视
辽宁卫视,http://148.135.93.213:81/live.php?id=辽宁卫视
重庆卫视,http://148.135.93.213:81/live.php?id=重庆卫视
黑龙江卫视,http://148.135.93.213:81/live.php?id=黑龙江卫视
海南卫视,http://148.135.93.213:81/live.php?id=海南卫视
大湾区卫视,http://148.135.93.213:81/live.php?id=大湾区卫视
西藏卫视,http://148.135.93.213:81/live.php?id=西藏卫视
陕西卫视,http://148.135.93.213:81/live.php?id=陕西卫视



央卫IPV4①,#genre#

CCTV1,http://154.12.55.21/bjzb/zb.php?id=239.3.1.129:8008
CCTV2,http://154.12.55.21/bjzb/zb.php?id=239.3.1.60:8084
CCTV3,http://154.12.55.21/bjzb/zb.php?id=239.3.1.172:8001
CCTV4,http://154.12.55.21/bjzb/zb.php?id=239.3.1.105:8092
CCTV5,http://154.12.55.21/bjzb/zb.php?id=239.3.1.173:8001
CCTV5+,http://154.12.55.21/bjzb/zb.php?id=239.3.1.130:8004
CCTV6,http://154.12.55.21/bjzb/zb.php?id=239.3.1.174:8001
CCTV7,http://154.12.55.21/bjzb/zb.php?id=239.3.1.61:8104
CCTV8,http://154.12.55.21/bjzb/zb.php?id=239.3.1.175:8001
CCTV9,http://154.12.55.21/bjzb/zb.php?id=239.3.1.62:8112
CCTV10,http://154.12.55.21/bjzb/zb.php?id=239.3.1.63:8116
CCTV11,http://154.12.55.21/bjzb/zb.php?id=239.3.1.152:8120
CCTV12,http://154.12.55.21/bjzb/zb.php?id=239.3.1.64:8124
CCTV13,http://154.12.55.21/bjzb/zb.php?id=239.3.1.124:8128
CCTV14,http://154.12.55.21/bjzb/zb.php?id=239.3.1.65:8132
CCTV15,http://154.12.55.21/bjzb/zb.php?id=239.3.1.153:8136
CCTV16,http://154.12.55.21/bjzb/zb.php?id=239.3.1.184:8001
CCTV17,http://154.12.55.21/bjzb/zb.php?id=239.3.1.151:8144

CCTV1,http://120.77.28.4:8648/mgu.php?id=cctv1
CCTV2,http://120.77.28.4:8648/mgu.php?id=cctv2
CCTV3,http://120.77.28.4:8648/mgu.php?id=cctv3
CCTV4,http://120.77.28.4:8648/mgu.php?id=cctv4
CCTV4欧洲,http://120.77.28.4:8648/mgu.php?id=cctv4o
CCTV4美洲,http://120.77.28.4:8648/mgu.php?id=cctv4a
CCTV5,http://120.77.28.4:8648/mgu.php?id=cctv5
CCTV5+,http://120.77.28.4:8648/mgu.php?id=cctv5p
CCTV6,http://120.77.28.4:8648/mgu.php?id=cctv6
CCTV7,http://120.77.28.4:8648/mgu.php?id=cctv7
CCTV7,http://120.77.28.4:8648/mgu.php?id=cctv7
CCTV8,http://120.77.28.4:8648/mgu.php?id=cctv8
CCTV9,http://120.77.28.4:8648/mgu.php?id=cctv9
CCTV10,http://120.77.28.4:8648/mgu.php?id=cctv10
CCTV11,http://120.77.28.4:8648/mgu.php?id=cctv11
CCTV12,http://120.77.28.4:8648/mgu.php?id=cctv12
CCTV13,http://120.77.28.4:8648/mgu.php?id=cctv13
CCTV14,http://120.77.28.4:8648/mgu.php?id=cctv14
CCTV15,http://120.77.28.4:8648/mgu.php?id=cctv15
CCTV17,http://120.77.28.4:8648/mgu.php?id=cctv17

CCTV-1 综合,http://tvbox6.icu/tv/sc96655.php?id=1
CCTV-2 财经,http://tvbox6.icu/tv/sc96655.php?id=2
CCTV-3 综艺,http://tvbox6.icu/tv/sc96655.php?id=3
CCTV-4 中文国际,http://tvbox6.icu/tv/sc96655.php?id=4
CCTV-5 体育,http://tvbox6.icu/tv/sc96655.php?id=5
CCTV-5+ 体育赛事,http://tvbox6.icu/tv/sc96655.php?id=6
CCTV-6 电影,http://tvbox6.icu/tv/sc96655.php?id=7
CCTV-7 国防军事,http://tvbox6.icu/tv/sc96655.php?id=8
CCTV-8 电视剧,http://tvbox6.icu/tv/sc96655.php?id=9
CCTV-9 纪录,http://tvbox6.icu/tv/sc96655.php?id=10
CCTV-10 科教,http://tvbox6.icu/tv/sc96655.php?id=11
CCTV-11 戏曲,http://tvbox6.icu/tv/sc96655.php?id=12
CCTV-12 社会与法,http://tvbox6.icu/tv/sc96655.php?id=13
CCTV-14 少儿,http://tvbox6.icu/tv/sc96655.php?id=15
CCTV-15 音乐,http://tvbox6.icu/tv/sc96655.php?id=16
CCTV-17 农业农村,http://tvbox6.icu/tv/sc96655.php?id=18

安徽卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.211:8064
兵团卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.144:4120
重庆卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.122:8160
东方卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.136:8032
东南卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.156:8148
甘肃卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.49:8188
广东卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.142:8048
广西卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.39:8300
贵州卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.149:8076
海南卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.45:8304
河北卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.148:8072
河南卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.27:8128
黑龙江卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.133:8016
湖北卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.138:8044
湖南卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.132:8012
吉林卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.240:8172
江苏卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.135:8028
江西卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.123:8164
辽宁卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.210:8056
内蒙古卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.43:8176
宁夏卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.46:8124
青海卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.44:8184
厦门卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.143:4120
山东卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.209:8052
山西卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.42:8172
陕西卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.41:8140
深圳卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.134:8020
四川卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.29:8288
天津卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.141:1234
西藏卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.47:8164
新疆卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.48:8160
云南卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.26:8108
浙江卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.137:8036
南方卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.161:8001
三沙卫视,http://154.12.55.21/bjzb/zb.php?id=239.3.1.155:4120
安徽卫视,http://154.12.55.21/zb/zb.php?id=239.253.92.209:6566
北京卫视,http://154.12.55.21/zb/zb.php?id=239.253.92.87:8014
兵团卫视,http://154.12.55.21/zb/zb.php?id=239.253.93.176:6344
重庆卫视,http://154.12.55.21/zb/zb.php?id=239.253.92.10:6053
东方卫视,http://154.12.55.21/zb/zb.php?id=239.253.92.89:8019
东南卫视,http://154.12.55.21/zb/zb.php?id=239.253.92.201:6146
广东卫视,http://154.12.55.21/zb/zb.php?id=239.253.92.206:8108
广西卫视,http://154.12.55.21/zb/zb.php?id=239.253.92.76:8043
贵州卫视,http://154.12.55.21/zb/zb.php?id=239.253.92.105:6055
海南卫视,http://154.12.55.21/zb/zb.php?id=239.253.93.155:6323
